Timestamp,Longitude,Latitude,Speed,Operatorname,CellID,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State,NRxRSRP,NRxRSRQ,ServingCell_Lon,ServingCell_Lat,ServingCell_Distance
2017.12.17_14.55.18,-8.476388,51.899209,2,B,2,LTE,-82,-6,13.0,7,-71,17752,313,D,-,-,-8.472084,51.901113,363.35000000000002
2017.12.17_14.55.19,-8.47637,51.899136,2,B,2,LTE,-82,-6,13.0,7,-71,17752,313,D,-,-,-8.472084,51.901113,367.14999999999998
2017.12.17_14.55.19,-8.47637,51.899136,2,B,2,LTE,-88,-12,9.0,7,-71,13795,268,D,-93.0,-18.0,-8.472084,51.901113,367.14999999999998
2017.12.17_14.55.20,-8.47637,51.899136,2,B,2,LTE,-88,-12,9.0,7,-71,21752,325,D,-93.0,-18.0,-8.472084,51.901113,367.14999999999998
2017.12.17_14.55.21,-8.47637,51.899136,2,B,2,LTE,-87,-13,3.0,7,-71,19214,287,D,-88.0,-14.0,-8.472084,51.901113,367.14999999999998
2017.12.17_14.55.22,-8.47637,51.899136,2,B,2,LTE,-87,-13,3.0,6,-69,21965,315,D,-88.0,-14.0,-8.472084,51.901113,367.14999999999998
2017.12.17_14.55.24,-8.47637,51.899136,2,B,2,LTE,-86,-12,4.0,6,-69,12134,189,D,-,-,-8.472084,51.901113,367.14999999999998
2017.12.17_14.55.25,-8.47637,51.899136,2,B,2,LTE,-86,-12,4.0,6,-69,17357,289,D,-,-,-8.472084,51.901113,367.14999999999998
2017.12.17_14.55.26,-8.47637,51.899136,2,B,2,LTE,-86,-13,3.0,6,-69,22692,438,D,-,-,-8.472084,51.901113,367.14999999999998
2017.12.17_14.55.27,-8.47637,51.899136,2,B,2,LTE,-86,-13,3.0,6,-65,11161,195,D,-,-,-8.472084,51.901113,367.14999999999998
2017.12.17_14.55.28,-8.47637,51.899136,2,B,2,LTE,-82,-14,3.0,8,-63,11899,206,D,-,-,-8.472084,51.901113,367.14999999999998
2017.12.17_14.55.29,-8.47637,51.899136,2,B,2,LTE,-82,-14,3.0,8,-59,15579,264,D,-,-,-8.472084,51.901113,367.14999999999998
2017.12.17_14.55.30,-8.47637,51.899136,2,B,2,LTE,-76,-13,2.0,6,-65,14226,297,D,-,-,-8.472084,51.901113,367.14999999999998
2017.12.17_14.55.31,-8.47637,51.899136,2,B,2,LTE,-76,-13,2.0,7,-63,12526,212,D,-,-,-8.472084,51.901113,367.14999999999998
2017.12.17_14.55.33,-8.47637,51.899136,2,B,2,LTE,-77,-11,3.0,8,-60,15948,255,D,-,-,-8.472084,51.901113,367.14999999999998
2017.12.17_14.55.34,-8.47637,51.899136,2,B,2,LTE,-77,-11,3.0,11,-70,17681,399,D,-,-,-8.472084,51.901113,367.14999999999998
2017.12.17_14.55.35,-8.47637,51.899136,2,B,2,LTE,-86,-14,2.0,8,-68,16608,282,D,-91.0,-16.0,-8.472084,51.901113,367.14999999999998
2017.12.17_14.55.36,-8.47637,51.899136,2,B,2,LTE,-86,-14,2.0,7,-70,14651,248,D,-91.0,-16.0,-8.472084,51.901113,367.14999999999998
