Timestamp,Longitude,Latitude,Speed,Operatorname,CellID,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State,NRxRSRP,NRxRSRQ,ServingCell_Lon,ServingCell_Lat,ServingCell_Distance
2018.01.19_16.06.32,-8.499551,51.893394,1,B,3,LTE,-86,-11,17.0,11,-68,25555,578,D,-,-,-8.499074,51.887362,671.52999999999997
2018.01.19_16.06.32,-8.499508,51.893483,0,B,3,LTE,-86,-11,12.0,13,-70,25555,578,D,-,-,-8.499074,51.887362,681.27999999999997
2018.01.19_16.06.33,-8.499508,51.893483,0,B,3,LTE,-86,-11,17.0,13,-70,27479,847,D,-,-,-8.499074,51.887362,681.27999999999997
2018.01.19_16.06.34,-8.499508,51.893483,0,B,3,LTE,-84,-9,13.0,10,-67,17167,512,D,-,-,-8.499074,51.887362,681.27999999999997
2018.01.19_16.06.35,-8.499508,51.893483,0,B,3,LTE,-84,-9,13.0,10,-71,20612,292,D,-,-,-8.499074,51.887362,681.27999999999997
2018.01.19_16.06.36,-8.499508,51.893483,0,B,3,LTE,-89,-11,10.0,10,-71,32880,499,D,-,-,-8.499074,51.887362,681.27999999999997
2018.01.19_16.06.37,-8.499508,51.893483,0,B,3,LTE,-89,-11,10.0,10,-71,29123,964,D,-,-,-8.499074,51.887362,681.27999999999997
2018.01.19_16.06.39,-8.499508,51.893483,0,B,3,LTE,-89,-10,11.0,10,-69,24258,428,D,-,-,-8.499074,51.887362,681.27999999999997
2018.01.19_16.06.40,-8.499508,51.893483,0,B,3,LTE,-89,-10,11.0,10,-73,29123,451,D,-,-,-8.499074,51.887362,681.27999999999997
2018.01.19_16.06.41,-8.499508,51.893483,0,B,3,LTE,-89,-12,7.0,10,-73,21450,686,D,-,-,-8.499074,51.887362,681.27999999999997
2018.01.19_16.06.42,-8.499508,51.893483,0,B,3,LTE,-89,-12,7.0,7,-76,15120,456,D,-,-,-8.499074,51.887362,681.27999999999997
2018.01.19_16.06.43,-8.499508,51.893483,0,B,3,LTE,-90,-13,8.0,8,-73,13208,280,D,-96.0,-10.0,-8.499074,51.887362,681.27999999999997
