Timestamp,Longitude,Latitude,Speed,Operatorname,CellID,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State,NRxRSRP,NRxRSRQ,ServingCell_Lon,ServingCell_Lat,ServingCell_Distance
2018.02.11_13.30.46,-8.499397,51.893531,1,B,3,LTE,-88,-10,12.0,14,-,44691,979,D,-70.0,-11.0,-8.499074,51.887362,686.32000000000005
2018.02.11_13.30.47,-8.499478,51.893436,0,B,3,LTE,-88,-10,12.0,14,-,44691,979,D,-70.0,-11.0,-8.499074,51.887362,675.97000000000003
2018.02.11_13.30.47,-8.499478,51.893436,0,B,3,LTE,-88,-10,12.0,14,-,32366,725,D,-70.0,-11.0,-8.499074,51.887362,675.97000000000003
2018.02.11_13.30.48,-8.499478,51.893436,0,B,3,LTE,-88,-11,11.0,14,-,31080,563,D,-71.0,-12.0,-8.499074,51.887362,675.97000000000003
2018.02.11_13.30.49,-8.499478,51.893436,0,B,3,LTE,-88,-11,11.0,14,-,19504,397,D,-71.0,-12.0,-8.499074,51.887362,675.97000000000003
2018.02.11_13.30.50,-8.499478,51.893436,0,B,3,LTE,-91,-12,10.0,14,-71,21629,385,D,-76.0,-11.0,-8.499074,51.887362,675.97000000000003
2018.02.11_13.30.51,-8.499478,51.893436,0,B,3,LTE,-91,-12,10.0,14,-71,18710,334,D,-76.0,-11.0,-8.499074,51.887362,675.97000000000003
2018.02.11_13.30.53,-8.499478,51.893436,0,B,3,LTE,-89,-12,13.0,14,-69,21562,378,D,-73.0,-12.0,-8.499074,51.887362,675.97000000000003
2018.02.11_13.30.54,-8.499478,51.893436,0,B,3,LTE,-89,-12,13.0,14,-69,24582,433,D,-73.0,-12.0,-8.499074,51.887362,675.97000000000003
2018.02.11_13.30.55,-8.499478,51.893436,0,B,3,LTE,-87,-8,15.0,13,-77,24157,426,D,-76.0,-10.0,-8.499074,51.887362,675.97000000000003
2018.02.11_13.30.56,-8.499478,51.893436,0,B,3,LTE,-87,-8,15.0,12,-69,22636,451,D,-76.0,-10.0,-8.499074,51.887362,675.97000000000003
2018.02.11_13.30.57,-8.499478,51.893436,0,B,3,LTE,-86,-9,17.0,12,-69,21037,371,D,-76.0,-11.0,-8.499074,51.887362,675.97000000000003
2018.02.11_13.30.58,-8.499478,51.893436,0,B,3,LTE,-86,-9,17.0,12,-69,24560,450,D,-76.0,-11.0,-8.499074,51.887362,675.97000000000003
2018.02.11_13.30.59,-8.499478,51.893436,0,B,3,LTE,-89,-11,16.0,9,-72,25152,458,D,-82.0,-11.0,-8.499074,51.887362,675.97000000000003
2018.02.11_13.31.00,-8.499478,51.893436,0,B,3,LTE,-89,-11,16.0,10,-75,24996,460,D,-82.0,-11.0,-8.499074,51.887362,675.97000000000003
2018.02.11_13.31.01,-8.499478,51.893436,0,B,3,LTE,-94,-11,11.0,9,-79,22692,408,D,-81.0,-9.0,-8.499074,51.887362,675.97000000000003
2018.02.11_13.31.02,-8.499478,51.893436,0,B,3,LTE,-94,-11,12.0,9,-79,25085,446,D,-81.0,-9.0,-8.499074,51.887362,675.97000000000003
2018.02.11_13.31.04,-8.499478,51.893436,0,B,3,LTE,-96,-12,10.0,9,-79,15758,287,D,-86.0,-8.0,-8.499074,51.887362,675.97000000000003
2018.02.11_13.31.05,-8.499478,51.893436,0,B,3,LTE,-96,-12,10.0,9,-79,16686,303,D,-86.0,-8.0,-8.499074,51.887362,675.97000000000003
2018.02.11_13.31.06,-8.499478,51.893436,0,B,3,LTE,-95,-13,8.0,11,-73,25734,465,D,-84.0,-12.0,-8.499074,51.887362,675.97000000000003
2018.02.11_13.31.07,-8.499478,51.893436,0,B,3,LTE,-95,-13,8.0,11,-,28888,522,D,-84.0,-12.0,-8.499074,51.887362,675.97000000000003
2018.02.11_13.31.08,-8.499478,51.893436,0,B,3,LTE,-95,-12,11.0,9,-73,43192,757,D,-83.0,-12.0,-8.499074,51.887362,675.97000000000003
2018.02.11_13.31.09,-8.499478,51.893436,0,B,3,LTE,-95,-12,11.0,10,-79,37846,682,D,-83.0,-12.0,-8.499074,51.887362,675.97000000000003
2018.02.11_13.31.10,-8.499478,51.893436,0,B,3,LTE,-92,-12,12.0,10,-75,37768,894,D,-83.0,-12.0,-8.499074,51.887362,675.97000000000003
2018.02.11_13.31.11,-8.499478,51.893436,0,B,3,LTE,-92,-12,12.0,8,-81,29727,621,D,-83.0,-12.0,-8.499074,51.887362,675.97000000000003
2018.02.11_13.31.12,-8.499478,51.893436,0,B,3,LTE,-96,-12,9.0,9,-79,30532,615,D,-81.0,-10.0,-8.499074,51.887362,675.97000000000003
2018.02.11_13.31.14,-8.499478,51.893436,0,B,3,LTE,-96,-12,9.0,9,-79,24973,505,D,-81.0,-10.0,-8.499074,51.887362,675.97000000000003
2018.02.11_13.31.15,-8.499478,51.893436,0,B,3,LTE,-97,-11,8.0,9,-79,25417,471,D,-81.0,-9.0,-8.499074,51.887362,675.97000000000003
2018.02.11_13.31.16,-8.499478,51.893436,0,B,3,LTE,-97,-11,8.0,9,-79,20175,413,D,-81.0,-9.0,-8.499074,51.887362,675.97000000000003
2018.02.11_13.31.17,-8.499478,51.893436,0,B,3,LTE,-96,-12,9.0,9,-79,18039,347,D,-82.0,-7.0,-8.499074,51.887362,675.97000000000003
2018.02.11_13.31.18,-8.499478,51.893436,0,B,3,LTE,-96,-12,9.0,9,-79,14908,275,D,-82.0,-7.0,-8.499074,51.887362,675.97000000000003
2018.02.11_13.31.19,-8.499478,51.893436,0,B,3,LTE,-94,-12,9.0,8,-77,9327,175,D,-85.0,-11.0,-8.499074,51.887362,675.97000000000003
2018.02.11_13.31.20,-8.499478,51.893436,0,B,3,LTE,-94,-12,9.0,6,-80,7504,136,D,-85.0,-11.0,-8.499074,51.887362,675.97000000000003
2018.02.11_13.31.21,-8.499478,51.893436,0,B,3,LTE,-99,-13,8.0,6,-82,6799,125,D,-89.0,-9.0,-8.499074,51.887362,675.97000000000003
