Timestamp,Longitude,Latitude,Speed,Operatorname,CellID,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State,NRxRSRP,NRxRSRQ,ServingCell_Lon,ServingCell_Lat,ServingCell_Distance
2017.12.03_17.52.37,-8.512188,51.89148,4,A,6,LTE,-97,-16,-4.0,7,-82,1970,79,D,-,-,-8.499975,51.888465,902.70000000000005
2017.12.03_17.52.37,-8.512188,51.89148,4,A,6,LTE,-97,-16,-4.0,9,-89,4037,151,D,-,-,-8.499975,51.888465,902.70000000000005
2017.12.03_17.52.37,-8.512278,51.891755,1,A,6,LTE,-97,-16,-4.0,9,-89,4037,151,D,-,-,-8.499975,51.888465,920.15999999999997
2017.12.03_17.52.38,-8.512278,51.891755,1,A,0,LTE,-106,-12,0.0,9,-89,1744,46,D,-,-,-8.485732,51.897244,1921.1099999999999
2017.12.03_17.52.39,-8.512278,51.891755,1,A,0,LTE,-106,-12,0.0,9,-89,3355,62,D,-104.0,-13.0,-8.485732,51.897244,1921.1099999999999
2017.12.03_17.52.41,-8.512278,51.891755,1,A,0,LTE,-106,-14,-3.0,7,-86,4865,90,D,-102.0,-14.0,-8.485732,51.897244,1921.1099999999999
2017.12.03_17.52.42,-8.512278,51.891755,1,A,0,LTE,-106,-14,-3.0,7,-86,5715,106,D,-102.0,-14.0,-8.485732,51.897244,1921.1099999999999
2017.12.03_17.52.43,-8.512278,51.891755,1,A,0,LTE,-104,-15,-3.0,7,-86,6441,119,D,-101.0,-11.0,-8.485732,51.897244,1921.1099999999999
2017.12.03_17.52.44,-8.512278,51.891755,1,A,0,LTE,-104,-15,-3.0,7,-83,2919,61,D,-101.0,-11.0,-8.485732,51.897244,1921.1099999999999
2017.12.03_17.52.45,-8.512278,51.891755,1,A,0,LTE,-100,-13,-4.0,7,-83,8544,158,D,-98.0,-9.0,-8.485732,51.897244,1921.1099999999999
2017.12.03_17.52.46,-8.512278,51.891755,1,A,0,LTE,-100,-13,-4.0,7,-83,6397,136,D,-98.0,-9.0,-8.485732,51.897244,1921.1099999999999
2017.12.03_17.52.47,-8.512278,51.891755,1,A,0,LTE,-98,-15,-4.0,7,-84,3243,78,D,-96.0,-13.0,-8.485732,51.897244,1921.1099999999999
2017.12.03_17.52.48,-8.512278,51.891755,1,A,0,LTE,-98,-15,-4.0,6,-80,4160,77,D,-96.0,-13.0,-8.485732,51.897244,1921.1099999999999
2017.12.03_17.52.50,-8.512278,51.891755,1,A,0,LTE,-97,-11,-1.0,6,-80,8399,156,D,-105.0,-19.0,-8.485732,51.897244,1921.1099999999999
2017.12.03_17.52.51,-8.512278,51.891755,1,A,0,LTE,-97,-11,-1.0,8,-84,18106,339,D,-105.0,-19.0,-8.485732,51.897244,1921.1099999999999
2017.12.03_17.52.52,-8.512278,51.891755,1,A,0,LTE,-101,-15,0.0,7,-86,12906,227,D,-104.0,-17.0,-8.485732,51.897244,1921.1099999999999
2017.12.03_17.52.53,-8.512278,51.891755,1,A,0,LTE,-101,-15,0.0,7,-86,17927,338,D,-104.0,-17.0,-8.485732,51.897244,1921.1099999999999
2017.12.03_17.52.54,-8.512278,51.891755,1,A,0,LTE,-102,-15,-4.0,7,-83,20243,537,D,-105.0,-18.0,-8.485732,51.897244,1921.1099999999999
2017.12.03_17.52.55,-8.512278,51.891755,1,A,0,LTE,-102,-15,-4.0,7,-80,12805,208,D,-105.0,-18.0,-8.485732,51.897244,1921.1099999999999
2017.12.03_17.52.56,-8.512278,51.891755,1,A,0,LTE,-100,-15,-2.0,7,-80,11564,211,D,-102.0,-18.0,-8.485732,51.897244,1921.1099999999999
2017.12.03_17.52.57,-8.512278,51.891755,1,A,0,LTE,-100,-15,-2.0,6,-84,12615,232,D,-102.0,-18.0,-8.485732,51.897244,1921.1099999999999
